"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NOR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.781612024,
"HUN","QGDP","TOT","PC_CHGPP","Q","2007-Q3",0.492403156,
"HUN","QGDP","TOT","PC_CHGPP","Q","2007-Q4",0.323022697,
"HUN","QGDP","TOT","PC_CHGPP","Q","2008-Q1",1.045825194,
"HUN","QGDP","TOT","PC_CHGPP","Q","2008-Q2",0.5020955,
"HUN","QGDP","TOT","PC_CHGPP","Q","2008-Q3",-0.251289105,
"HUN","QGDP","TOT","PC_CHGPP","Q","2008-Q4",-3.523342653,
"HUN","QGDP","TOT","PC_CHGPP","Q","2009-Q1",-4.057907131,
"HUN","QGDP","TOT","PC_CHGPP","Q","2009-Q2",0.054343699,
"HUN","QGDP","TOT","PC_CHGPP","Q","2009-Q3",-0.062312855,
"HUN","QGDP","TOT","PC_CHGPP","Q","2009-Q4",-0.094686492,
"HUN","QGDP","TOT","PC_CHGPP","Q","2010-Q1",0.176811381,
"HUN","QGDP","TOT","PC_CHGPP","Q","2010-Q2",0.768912066,
"HUN","QGDP","TOT","PC_CHGPP","Q","2010-Q3",0.754105717,
"HUN","QGDP","TOT","PC_CHGPP","Q","2010-Q4",-0.110361811,
"HUN","QGDP","TOT","PC_CHGPP","Q","2011-Q1",1.194289264,
"HUN","QGDP","TOT","PC_CHGPP","Q","2011-Q2",-0.198822723,
"HUN","QGDP","TOT","PC_CHGPP","Q","2011-Q3",0.113045153,
"HUN","QGDP","TOT","PC_CHGPP","Q","2011-Q4",1.133991738,
"HUN","QGDP","TOT","PC_CHGPP","Q","2012-Q1",-1.260257794,
"HUN","QGDP","TOT","PC_CHGPP","Q","2012-Q2",-0.941024931,
"HUN","QGDP","TOT","PC_CHGPP","Q","2012-Q3",0.239641893,
"HUN","QGDP","TOT","PC_CHGPP","Q","2012-Q4",-0.251225674,
"HUN","QGDP","TOT","PC_CHGPP","Q","2013-Q1",0.454652177,
"HUN","QGDP","TOT","PC_CHGPP","Q","2013-Q2",0.910815396,
"HUN","QGDP","TOT","PC_CHGPP","Q","2013-Q3",1.536745358,
"HUN","QGDP","TOT","PC_CHGPP","Q","2013-Q4",0.793889619,
"HUN","QGDP","TOT","PC_CHGPP","Q","2014-Q1",0.910473824,
"HUN","QGDP","TOT","PC_CHGPP","Q","2014-Q2",1.289969209,
"HUN","QGDP","TOT","PC_CHGPP","Q","2014-Q3",0.94147632,
"HUN","QGDP","TOT","PC_CHGPP","Q","2014-Q4",0.525393199,
"HUN","QGDP","TOT","PC_CHGPP","Q","2015-Q1",1.709569469,
"HUN","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.110922807,
"HUN","QGDP","TOT","PC_CHGPP","Q","2015-Q3",0.746120247,
"HUN","QGDP","TOT","PC_CHGPP","Q","2015-Q4",1.034127995,
"HUN","QGDP","TOT","PC_CHGPP","Q","2016-Q1",-0.385365871,
"HUN","QGDP","TOT","PC_CHGPP","Q","2016-Q2",1.203294187,
"HUN","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.504764634,
"HUN","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.885134793,
"HUN","QGDP","TOT","PC_CHGPP","Q","2017-Q1",1.41500152,
"HUN","QGDP","TOT","PC_CHGPP","Q","2017-Q2",1.193837522,
"HUN","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.905660833,
"HUN","QGDP","TOT","PC_CHGPP","Q","2017-Q4",1.454220245,
"HUN","QGDP","TOT","PC_CHGPP","Q","2018-Q1",1.801874782,
"HUN","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.863679655,
"HUN","QGDP","TOT","PC_CHGPP","Q","2018-Q3",1.48921517,
"HUN","QGDP","TOT","PC_CHGPP","Q","2018-Q4",1.048642063,
"HUN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.990437409,
"HUN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.286134259,
"HUN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",1.367622467,
"HUN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.604995052,
"HUN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.360326923,
